80
0,0,0,2,7
0,0,11,10,1
0,2,0,4,6
0,0,16,10,9
9,4,0,0,15
12,3,0,4,0
0,0,0,18,0
0,0,18,11,0
9,5,0,0,4
16,3,0,0,0
0,18,0,0,0
0,18,0,0,7
0,8,7,0,0
0,10,0,0,11
6,6,17,0,16
10,19,0,13,0
0,0,12,0,5
0,0,6,0,0
0,0,2,6,0
0,0,7,0,0
0,6,2,4,11
0,13,18,18,0
7,0,0,10,11
0,19,0,6,0
0,0,0,14,3
9,0,0,1,0
0,0,0,11,14
11,0,19,0,9
0,0,0,8,16
0,10,5,0,9
0,0,2,0,0
0,0,0,11,0
7,16,0,0,0
0,6,0,8,0
0,0,19,1,2
0,0,0,15,16
0,0,0,5,16
0,0,0,13,14
11,19,14,0,0
7,0,1,0,10
0,0,0,0,0
6,0,0,0,2
5,2,0,7,0
0,7,15,0,0
0,0,6,0,0
0,0,4,18,3
16,0,7,0,8
0,0,0,9,0
0,0,0,9,12
0,5,11,15,0
0,11,0,0,0
8,0,18,0,5
0,0,0,0,0
6,15,0,8,15
9,0,0,19,13
0,0,3,0,5
0,12,17,0,0
0,0,0,5,8
12,17,17,0,0
13,0,0,5,0
0,3,0,0,0
0,15,12,1,0
0,0,0,4,18
18,9,0,1,14
0,0,12,0,10
5,19,17,18,0
0,0,0,0,0
0,0,11,0,0
0,18,19,0,13
3,0,0,0,0
15,0,6,11,0
17,19,0,0,18
9,0,0,0,0
0,0,13,0,17
0,0,0,0,19
0,0,8,0,13
12,0,9,0,0
14,18,6,0,0
0,1,16,7,14
0,3,2,6,0
